085072,temp,-38.12,147.13,EAST SALE
085096,temp,-39.13,146.42,WILSONS PROMONTORY LIGHTHOUSE
086338,temp,-37.83,144.98,MELBOURNE (OLYMPIC PARK)
087031,temp,-37.86,144.76,LAVERTON RAAF
090015,temp,-38.86,143.51,CAPE OTWAY LIGHTHOUSE
091293,temp,-41.05,146.79,LOW HEAD
091311,temp,-41.55,147.22,LAUNCESTON AIRPORT
092045,temp,-40.99,148.35,LARAPUNA (EDDYSTONE POINT)
094010,temp,-43.49,147.15,CAPE BRUNY LIGHTHOUSE
094029,temp,-42.89,147.33,HOBART (ELLERSLIE ROAD)
094220,temp,-42.99,147.07,GROVE (RESEARCH STATION)
096003,temp,-42.28,146.28,BUTLERS GORGE
