041011,prcp,-27.71,151.87,CAMBOOYA POST OFFICE,Queensland
041013,prcp,-28.23,152.07,CANNING DOWNS,Queensland
041024,prcp,-27.21,151.85,DOCTORS CREEK,Queensland
041082,prcp,-27.72,151.63,PITTSWORTH YANDILLA STREET,Queensland
042023,prcp,-26.66,150.18,MILES POST OFFICE,Queensland
044026,prcp,-28.07,145.68,CUNNAMULLA POST OFFICE,Queensland
044054,prcp,-28.81,147.12,MULGA DOWNS,Queensland
045017,prcp,-28,143.82,THARGOMINDAH POST OFFICE,Queensland
046042,prcp,-30.85,143.09,WHITE CLIFFS POST OFFICE,New South Wales
047029,prcp,-33.39,142.57,POONCARIE TELECENTRE,New South Wales
047053,prcp,-34.11,141.91,WENTWORTH POST OFFICE,New South Wales
048031,prcp,-29.55,148.59,COLLARENEBRI (VIEWPOINT),New South Wales
050031,prcp,-32.73,148.19,PEAK HILL POST OFFICE,New South Wales
054003,prcp,-30.38,150.61,BARRABA POST OFFICE,New South Wales
054004,prcp,-29.87,150.57,BINGARA POST OFFICE,New South Wales
054036,prcp,-29.24,150.89,WALLANGRA (WALLANGRA STATION),New South Wales
055045,prcp,-31.18,150.03,CURLEWIS (PINE CLIFF),New South Wales
055055,prcp,-30.96,150.46,CARROLL (THE RANCH),New South Wales
058012,prcp,-29.43,153.36,YAMBA PILOT STATION,New South Wales
058063,prcp,-28.88,153.05,CASINO AIRPORT,New South Wales
061010,prcp,-32.59,151.78,CLARENCE TOWN (GREY ST),New South Wales
061014,prcp,-32.64,151.42,BRANXTON  (DALWOOD VINEYARD),New South Wales
062021,prcp,-32.6,149.6,MUDGEE (GEORGE STREET),New South Wales
062026,prcp,-32.81,149.98,RYLSTONE (ILFORD RD),New South Wales
063005,prcp,-33.43,149.56,BATHURST AGRICULTURAL STATION,New South Wales
068016,prcp,-34.27,150.81,CATARACT DAM,New South Wales
068034,prcp,-35.09,150.8,POINT PERPENDICULAR LIGHTHOUSE COMPARISON,New South Wales
069006,prcp,-35.72,149.78,BETTOWYND (CONDRY),New South Wales
069018,prcp,-35.91,150.15,MORUYA HEADS PILOT STATION,New South Wales
