008051,01/05/1967,145.7
008051,01/06/1967,123.3
008051,01/07/1967,77.0
008051,01/08/1967,96.4
008051,01/09/1967,139.3
008051,01/10/1967,196.9
008051,01/11/1967,324.8
008051,01/12/1967,355.2
008051,01/01/1968,396.7
008051,01/02/1968,337.9
008051,01/03/1968,268.0
008051,01/04/1968,169.1
008051,01/05/1968,119.4
008051,01/06/1968,84.8
008051,01/07/1968,81.7
008051,01/08/1968,94.0
008051,01/09/1968,144.0
008051,01/10/1968,216.8
008051,01/11/1968,267.9
008051,01/12/1968,363.2
008051,01/01/1969,370.6
008051,01/02/1969,349.4
008051,01/03/1969,392.8
008051,01/04/1969,253.6
008051,01/05/1969,150.5
008051,01/06/1969,107.3
008051,01/07/1969,92.1
008051,01/08/1969,109.6
008051,01/09/1969,159.6
008051,01/10/1969,244.5
008051,01/11/1969,270.8
008051,01/12/1969,352.6
008051,01/01/1970,309.2
008051,01/02/1970,313.5
008051,01/03/1970,259.3
008051,01/04/1970,204.1
008051,01/05/1970,132.4
008051,01/06/1970,91.0
008051,01/07/1970,79.6
008051,01/08/1970,91.5
008051,01/09/1970,116.4
008051,01/10/1970,217.6
008051,01/11/1970,253.5
008051,01/12/1970,300.6
008051,01/01/1971,287.1
008051,01/02/1971,322.0
008051,01/03/1971,288.0
008051,01/04/1971,195.6
008051,01/05/1971,126.0
008051,01/06/1971,90.8
008051,01/07/1971,79.0
008051,01/08/1971,87.3
008051,01/09/1971,111.9
008051,01/10/1971,164.9
008051,01/11/1971,225.3
008051,01/12/1971,313.4
008051,01/01/1972,328.7
008051,01/02/1972,334.5
008051,01/03/1972,292.4
008051,01/04/1972,240.9
008051,01/05/1972,192.9
008051,01/06/1972,110.4
008051,01/07/1972,105.5
008051,01/08/1972,95.8
008051,01/09/1972,109.4
008051,01/10/1972,184.9
008051,01/11/1972,241.2
008051,01/12/1972,284.2
008051,01/01/1973,339.5
008051,01/02/1973,255.1
008051,01/03/1973,268.4
008051,01/04/1973,174.9
008051,01/05/1973,137.6
008051,01/06/1973,94.6
008051,01/07/1973,88.1
008051,01/08/1973,81.9
008051,01/09/1973,99.0
